590067714,145
378425347,0
494747654,14
215517191,105
1052860428,20
279969805,0
85469197,0
73330703,2
1355909132,2
563933198,12
340221970,22
150892556,64
484661268,17
137334807,30
323395608,1
463196186,11
913805339,112
79900698,3
75081757,0
704434205,35
207724573,44
253212700,0
592027675,10
111065122,34
1057255460,644
215529509,7
272230438,0
790487079,833
711675943,11
1091031079,114
884385830,2
160892972,1
867199020,11
647745591,34
1381257272,2
75089978,17
354850879,2
1081124929,354
541481026,405
508618820,0
498339909,0
84885574,4
1074507850,956
185237578,2
76699727,20
193181775,17
1020815439,60
998568017,708
860504144,31
1125521492,44
1275430991,0
1053268058,294
147247199,10
931307617,15
73330785,25
73330788,0
181891173,3
82077798,0
201853034,72
293820524,5
1243705452,207
1205352558,129
880791662,94
1337100398,451
962990192,1
94793843,20
130068596,3
1159170164,55
305590390,3
1158889592,22
140685432,7
825614458,818
130062462,0
1377151103,5
193128576,0
958179457,13
733644928,63
702998658,3
281315460,2
1212397705,3
424693902,0
335536272,0
1160036500,16
490297492,145
923017367,586
275458204,2
1384638621,26
161198236,8
358555806,0
255293600,0
1329524900,0
1184022695,190
1009430695,0
1006403754,9
278579370,18
73799860,1
387946678,1
1140596919,969
80867514,1
1065068732,0
1100949693,48
1192761536,963
99193025,2
127051968,0
82014403,16
799645891,5
290783428,331
863897795,202
429668551,1
923017416,7
726606023,0
1365858497,1006
1168126157,48
73330895,26
268252729,0
122415315,19
455065811,5
840534227,31
122384595,2
157915351,1
1183017174,84
333093081,3
1097371866,11
1107712211,7
1117202653,443
1228706016,54
1059573987,337
1117556964,11
264665317,0
521945322,56
492175596,0
1123922160,63
362115318,10
191303933,3
1090822398,62
1080467712,1
385452290,72
202795271,1
1200361736,563
250392840,0
503341322,25
990302477,25
955939085,53
275699983,135
210065679,15
1119389968,644
354947346,11
201984275,1
81873172,0
1301362964,33
1043994904,53
120975641,3
577192220,14
1099053340,8
267972899,0
361910564,68
741742885,85
73797923,3
218290471,26
293953832,0
1012570406,500
651219242,18
129700138,1
